Year,agencyName,service,Activity,dollars
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Deferred Comp Administrative Expense,298360
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,City Hall Exhibits,4000
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Panel of Claims Examiners,138297
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Independent Auditors,559355
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Emergency Relocation,583701
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,MBE Outreach,732978
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Marina Store Lease,100738
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,State Department of Assessments and Taxation,2057908
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Special Events,0
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,CHAP Recompense,90398
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,AFSCME / CUB Bonuses,0
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Grants Deficit,5934698
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Compensated Work,4800000
2015,Miscellaneous General Expenses,Miscellaneous General Expenses,Civil Disturbances,13566336
2015,Office of Citistat Operations,CitiStat Operations,CitiStat Operations,1059148
2015,Office of Citistat Operations,CitiStat Operations,Information Technology Expenses,114988
2015,Office of Criminal Justice,Juvenile Justice,Youth Connection Services,0
2015,Office of Criminal Justice,Juvenile Justice,Juvenile Diversion,0
2015,Office of Criminal Justice,Juvenile Justice,Northwest Baltimore YSB,0
2015,Office of Criminal Justice,Juvenile Justice,East Baltimore YSB,0
2015,Office of Criminal Justice,Juvenile Justice,MD Safe Streets,0
2015,Office of Criminal Justice,Criminal Justice Coordination,Sexual Assault Response Team,0
2015,Office of Criminal Justice,Criminal Justice Coordination,Supervised Visitation,0
2015,Office of Criminal Justice,Criminal Justice Coordination,Domestic Violence,0
2015,Office of Criminal Justice,Crime Prevention,Operation Ceasefire,0
2015,Office of Criminal Justice,Crime Prevention,HIDTA,0
2015,Office of Criminal Justice,Crime Prevention,BCJI,0
2015,Office of Criminal Justice,CitiWatch,Monitoring and Maintenance,1425270
2015,Office of Criminal Justice,CitiWatch,Casino Support‐Crime Cameras and Lighting,0
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,HIDTA,1162172
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Executive Direction and Control,321985
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,JAG,0
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,C‐SAFE,0
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Domestic Violence,320352
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Unallocated Funds,0
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Grant Management,274625
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Northwest Baltimore YSB,563181
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,East Baltimore YSB,39776
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Supervised Visitation Grant,10304
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Operation Ceasefire,1729
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Milwaukee Homicide Review,55792
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Project Unity,2900
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Gun Reward Program,60000
2015,Office of Criminal Justice,Coordination of Public Safety Strategy,Youth Connection Centers,171491
2015,Office of Employment Development,BCPS Alternative Options Academy for Youth,BCPS (Alternative High School),126504
2015,Office of Employment Development,Workforce Services for TANF Recipients,Family Investment,2529849
2015,Office of Employment Development,Workforce Services for TANF Recipients,Food Stamp Employment & Training,0
2015,Office of Employment Development,Workforce Services for TANF Recipients,Unallocated Appropriation,0
2015,Office of Employment Development,Employment Enhancement Services for Baltimore City Residents,Workforce Services for Baltimore City Residents,907628
2015,Office of Employment Development,Employment Enhancement Services for Baltimore City Residents,Casino Support‐Employment Connection,367377
2015,Office of Employment Development,Employment Enhancement Services for Baltimore City Residents,Casino Support‐Job Training,98886
2015,Office of Employment Development,Employment Enhancement Services for Baltimore City Residents,Job Hubs,342578
2015,Office of Employment Development,Administration  MOED,Administration,153813
2015,Office of Employment Development,Administration  MOED,Program Oversight,703598
2015,Office of Employment Development,Administration  MOED,Local Hiring Coordination,221198
2015,Office of Employment Development,Administration  MOED,Magna Center,179519
2015,Office of Employment Development,Workforce Services for Baltimore Residents,Workforce Services for Baltimore City Residents,149574
2015,Office of Employment Development,Workforce Services for Baltimore Residents,WIOA‐Adult,3417921
2015,Office of Employment Development,Workforce Services for Baltimore Residents,WIOA‐Adult/Dislocated Worker,933384
2015,Office of Employment Development,Workforce Services for Baltimore Residents,WIOA‐Incentive,0
2015,Office of Employment Development,Workforce Services for Baltimore Residents,Unallocated Appropriation,0
2015,Office of Employment Development,Workforce Services for ExOffenders,Workforce Services for Ex‐Offenders,800957
2015,Office of Employment Development,Workforce Services for ExOffenders,Ex‐Offender ‐ MDPSCS Parole and Probation,0
2015,Office of Employment Development,Workforce Services for ExOffenders,Unallocated Appropriation,0
2015,Office of Employment Development,Workforce Services for Out of School YouthYouth Opportunity,Workforce Services Youth Opportunity,2796648
2015,Office of Employment Development,Workforce Services for Out of School YouthYouth Opportunity,GOCCP‐PACT,0
2015,Office of Employment Development,Workforce Services for Out of School YouthYouth Opportunity,Dept. of Juvenile Services (DJS) Pact,88023
2015,Office of Employment Development,Workforce Services for Out of School YouthYouth Opportunity,Unallocated Appropriation,0
2015,Office of Employment Development,Youth Works Summer Job Program,Workforce Services ‐ Summer Youth Works,1408469
2015,Office of Employment Development,Youth Works Summer Job Program,Casino Support‐Youth Jobs,168985
2015,Office of Employment Development,Youth Works Summer Job Program,Md. Summer Youth,2392749
2015,Office of Employment Development,Youth Works Summer Job Program,Unallocated Appropriation,0
2015,Office of Employment Development,Youth Works Summer Job Program,Summer Youth Works Enhancement,221674
2015,Office of Employment Development,Workforce Services for WIA Funded Youth,WIOA Youth,2527028
2015,Office of Human Services,Administration  Human Services,Administration,2218581
2015,Office of Human Services,Administration  Human Services,Park Heights,465128
2015,Office of Human Services,Administration  Human Services,COC Admin,0
2015,Office of Human Services,Administration  Human Services,HMIS Administration,0
2015,Office of Human Services,Administration  Human Services,Social Services,0
2015,Office of Human Services,Administration  Human Services,Casino Support‐Educational Partnerships,0
2015,Office of Human Services,Administration  Human Services,Pimlico Impact Aid‐Youth Development,0
2015,Office of Human Services,Administration  Human Services,Planning Grant,0
2015,Office of Human Services,Administration  Human Services,Workers' Compensation Expenses,42776
2015,Office of Human Services,Head Start,State Grants,0
2015,Office of Human Services,Head Start,Dayspring,3291228
2015,Office of Human Services,Head Start,Union Baptist/Johnston Center ‐ Part Day,1703744
2015,Office of Human Services,Head Start,Training and Technical Assistance,0
2015,Office of Human Services,Head Start,State Grants,34777
2015,Office of Human Services,Head Start,Grantee Operations,1243918
2015,Office of Human Services,Head Start,Emily Price Jones Center ‐ Part Day,100636
2015,Office of Human Services,Head Start,Metro Delta Center ‐ Part Day,1996216
2015,Office of Human Services,Head Start,Pediatric HIV Project,451031
2015,Office of Human Services,Head Start,Summer Head Start Catholic Charities,0
2015,Office of Human Services,Head Start,Morgan State University ‐ Part Day,474531
2015,Office of Human Services,Head Start,St Jerome's Part Day,95290
2015,Office of Human Services,Head Start,Southeast Community Organization,194574
2015,Office of Human Services,Head Start,Early Childhood Education,144581
2015,Office of Human Services,Community Action Centers,Southeast Center,501212
2015,Office of Human Services,Community Action Centers,Eastern Center,590663
2015,Office of Human Services,Community Action Centers,Northwest Center,693733
2015,Office of Human Services,Community Action Centers,Southern Center,211378
2015,Office of Human Services,Community Action Centers,Northern Center,791732
2015,Office of Human Services,Community Action Centers,Western Center,478618
2015,Office of Human Services,Community Action Centers,Exelon ‐ Case Management,363951
2015,Office of Human Services,Community Action Centers,Administration,898405
2015,Office of Human Services,Community Action Centers,Exelon ‐ Energy Assistance,232943
2015,Office of Human Services,Community Action Centers,Office of Home Energy,2055271
2015,Office of Human Services,Homeless Prevention,Homeless Prevention,1307931
2015,Office of Human Services,Homeless Prevention,Eviction Prevention,0
2015,Office of Human Services,Homeless Prevention,Harford and Micah House,0
2015,Office of Human Services,Homeless Prevention,Homeless Prevention Program,0
2015,Office of Human Services,Homeless Prevention,HOPWA Outreach,0
2015,Office of Human Services,Homeless Prevention,Human Right to Housing Project,0
2015,Office of Human Services,Homeless Prevention,Power Inside Help on the Streets,0
2015,Office of Human Services,Homeless Prevention,Resident Advocate,0
2015,Office of Human Services,Homeless Prevention,Youth Empowered Society,0
2015,Office of Human Services,Homeless Prevention,UM Homeless Prevention,0
2015,Office of Human Services,Outreach to the Homeless,Outreach to the Homeless,510192
2015,Office of Human Services,Outreach to the Homeless,Beans and Bread,0
2015,Office of Human Services,Outreach to the Homeless,Convalescent Care Program,0
2015,Office of Human Services,Outreach to the Homeless,Day Resource Center/Meal Program,0
2015,Office of Human Services,Outreach to the Homeless,Don Miller House,0
2015,Office of Human Services,Outreach to the Homeless,Eviction Prevention and Rapid Re‐housing,0
2015,Office of Human Services,Outreach to the Homeless,HCAM Homeless Street Outreach Program,0
2015,Office of Human Services,Outreach to the Homeless,HIV/AIDS Drop in Center Food and Nutrition Services,0
2015,Office of Human Services,Outreach to the Homeless,Holden Hall,0
2015,Office of Human Services,Outreach to the Homeless,HOPWA Nursing Services,0
2015,Office of Human Services,Outreach to the Homeless,Joseph Richey House,0
2015,Office of Human Services,Outreach to the Homeless,My Sister's Place Women's Center,0
2015,Office of Human Services,Outreach to the Homeless,People on the Move,0
2015,Office of Human Services,Outreach to the Homeless,Permanent Housing Services for HIV/AIDS,0
2015,Office of Human Services,Outreach to the Homeless,Safe Shelter & Housing for Homeless DV Survivors,0
2015,Office of Human Services,Outreach to the Homeless,Outreach Co‐Occurring Illness,0
2015,Office of Human Services,Outreach to the Homeless,Youth Emergency Shelter,0
2015,Office of Human Services,Outreach to the Homeless,Homeless Street Outreach,0
2015,Office of Human Services,Outreach to the Homeless,"HealthCare Access Maryland, Inc.",0
2015,Office of Human Services,Temporary Housing for the Homeless,Temporary Housing for Homeless,12386357
2015,Office of Human Services,Temporary Housing for the Homeless,Social Services,0
2015,Office of Human Services,Temporary Housing for the Homeless,Baker Street Station,0
2015,Office of Human Services,Temporary Housing for the Homeless,Booth House Shelter,0
2015,Office of Human Services,Temporary Housing for the Homeless,Menís Overflow,0
2015,Office of Human Services,Temporary Housing for the Homeless,New Vision House of Hope,0
2015,Office of Human Services,Temporary Housing for the Homeless,Earl's Place Transitional Housing,0
2015,Office of Human Services,Temporary Housing for the Homeless,Emergency Shelter Homeless Women and Children,0
2015,Office of Human Services,Temporary Housing for the Homeless,Winter Emergency Sheltering,0
2015,Office of Human Services,Temporary Housing for the Homeless,Martha's Place,0
2015,Office of Human Services,Temporary Housing for the Homeless,McVet Emergency Shelter & Street Outreach,0
2015,Office of Human Services,Temporary Housing for the Homeless,Patrick Allison House Transitional Housing Program,0
2015,Office of Human Services,Temporary Housing for the Homeless,Sarah's Hope,0
2015,Office of Human Services,Temporary Housing for the Homeless,South Baltimore Station,0
2015,Office of Human Services,Temporary Housing for the Homeless,Temporary Housing for Single Adults,0
2015,Office of Human Services,Temporary Housing for the Homeless,Transitional Housing,0
2015,Office of Human Services,Temporary Housing for the Homeless,Drop in Center and Nutrition Service,0
2015,Office of Human Services,Temporary Housing for the Homeless,Christopher's Place,0
2015,Office of Human Services,Temporary Housing for the Homeless,My Sister's Place Lodge,0
2015,Office of Human Services,Temporary Housing for the Homeless,House of Ruth,0
2015,Office of Human Services,Temporary Housing for the Homeless,Carrington House,0
2015,Office of Human Services,Temporary Housing for the Homeless,Healthcare for the Homeless,0
2015,Office of Human Services,Temporary Housing for the Homeless,TAMAR Shelter Plus Care,0
2015,Office of Human Services,Temporary Housing for the Homeless,Center for Veterans Temporary Housing,0
2015,Office of Human Services,Temporary Housing for the Homeless,Project PLASE ‐ Medically Fragile SRO,0
2015,Office of Human Services,Temporary Housing for the Homeless,SVdP Home Connections,0
2015,Office of Human Services,Temporary Housing for the Homeless,Manna House,0
2015,Office of Human Services,Temporary Housing for the Homeless,"SHG, Inc. ‐ Lanvale Institute Residential TH",0
2015,Office of Human Services,Temporary Housing for the Homeless,First Apostolic Faith Church,0
2015,Office of Human Services,Temporary Housing for the Homeless,Pratt House Temporary Housing,0
2015,Office of Human Services,Temporary Housing for the Homeless,Druid Heights Temporary Housing,0
2015,Office of Human Services,Temporary Housing for the Homeless,Weinburg Housing Resource Center,0
2015,Office of Human Services,Temporary Housing for the Homeless,NONE,0
2015,Office of Human Services,Permanent Housing for the Homeless,Permanent Housing for Homeless,26189959
2015,Office of Human Services,Permanent Housing for the Homeless,United Way Shelter Diversion,0
2015,Office of Human Services,Permanent Housing for the Homeless,Front Door,0
2015,Office of Human Services,Permanent Housing for the Homeless,Home Connections,0
2015,Office of Human Services,Permanent Housing for the Homeless,Justice Housing,0
2015,Office of Human Services,Permanent Housing for the Homeless,STABLE Housing Project,0
2015,Office of Human Services,Permanent Housing for the Homeless,Justice Housing,0
2015,Office of Human Services,Permanent Housing for the Homeless,Project PLASE,0
2015,Office of Human Services,Permanent Housing for the Homeless,County Rental Assistance,0
2015,Office of Human Services,Permanent Housing for the Homeless,AIRS Shelter Plus Care Program,0
2015,Office of Human Services,Permanent Housing for the Homeless,Frederick Ozanam House,0
2015,Office of Human Services,Permanent Housing for the Homeless,Project FRESH Start,0
2015,Office of Human Services,Permanent Housing for the Homeless,Project BELIEVE,0
2015,Office of Human Services,Permanent Housing for the Homeless,At Jacob's Well,0
2015,Office of Human Services,Permanent Housing for the Homeless,Project Based S+C,0
2015,Office of Human Services,Permanent Housing for the Homeless,Dayspring Housing Programs,0
2015,Office of Human Services,Permanent Housing for the Homeless,REACH Combined,0
2015,Office of Human Services,Permanent Housing for the Homeless,Harford House and Micah House,0
2015,Office of Human Services,Permanent Housing for the Homeless,Homeward Bound,0
2015,Office of Human Services,Permanent Housing for the Homeless,Legal Service Project,0
2015,Office of Human Services,Permanent Housing for the Homeless,Lighthouse,0
2015,Office of Human Services,Permanent Housing for the Homeless,Soup Plus Project,0
2015,Office of Human Services,Permanent Housing for the Homeless,Marian House,0
2015,Office of Human Services,Permanent Housing for the Homeless,Serenity Place PHP,0
2015,Office of Human Services,Permanent Housing for the Homeless,TAMAR,0
2015,Office of Human Services,Permanent Housing for the Homeless,Mercy Medical Center ‐ Supportive Housing Project,0
2015,Office of Human Services,Permanent Housing for the Homeless,Unallocated,0
2015,Office of Human Services,Permanent Housing for the Homeless,PEP Samaritan Project,0
2015,Office of Human Services,Permanent Housing for the Homeless,Medically Fragile Temporary Housing,0
2015,Office of Human Services,Permanent Housing for the Homeless,Scattered Site Permanent Housing,0
2015,Office of Human Services,Permanent Housing for the Homeless,St. Ambrose Housing Aid Center,0
2015,Office of Human Services,Permanent Housing for the Homeless,SVdP Home Connections,0
2015,Office of Human Services,Permanent Housing for the Homeless,Beans and Bread,0
2015,Office of Human Services,Permanent Housing for the Homeless,Cottage Avenue Community,0
2015,Office of Human Services,Permanent Housing for the Homeless,Jenkins House Family Program,0
2015,Office of Human Services,Permanent Housing for the Homeless,Bennett House,0
2015,Office of Human Services,Permanent Housing for the Homeless,Calverton Residence,0
2015,Office of Human Services,Permanent Housing for the Homeless,Homeward Bound Expansion,0
2015,Office of Human Services,Permanent Housing for the Homeless,NONE,0
2015,Office of Information Technology,Administration,Administration,1194313
2015,Office of Information Technology,Administration,Workers Compensation Expenses,15542
2015,Office of Information Technology,Enterprise Innovation and Application Services,Application Support,6046453
2015,Office of Information Technology,Enterprise Innovation and Application Services,Project Management Office,2213186
2015,Office of Information Technology,Enterprise Innovation and Application Services,Mainframe,0
2015,Office of Information Technology,Enterprise Innovation and Application Services,Data Warehouse,0
2015,Office of Information Technology,Enterprise Innovation and Application Services,GIS,0
2015,Office of Information Technology,Enterprise Unified Call Center,Service,4329688
2015,Office of Information Technology,Enterprise Unified Call Center,Dispatch,10198109
2015,Office of Information Technology,Enterprise Unified Call Center,Service,7479093
2015,Office of Information Technology,Enterprise IT Delivery Services,Infrastructure Support Services,3493259
2015,Office of Information Technology,Enterprise IT Delivery Services,Customer Support Service,2259087
2015,Office of Information Technology,Enterprise IT Delivery Services,Information Security,0
2015,Office of Information Technology,Enterprise IT Delivery Services,Server Maintenance,0
2015,Office of Information Technology,Enterprise IT Delivery Services,Network Maintenance,0
2015,Office of Information Technology,Enterprise IT Delivery Services,Fiber,0
2015,Office of Information Technology,Enterprise IT Delivery Services,MHZ,5983919
2015,Office of Information Technology,Enterprise IT Delivery Services,Hardware/ Software Replacement,1365349
2015,Office of Information Technology,Enterprise IT Delivery Services,Casino Support‐Fiberoptic Infrastructure,804000
2015,Office of Neighborhoods,Office of Neighborhoods,Neighborhoods,713872
2015,Office of Neighborhoods,Office of Neighborhoods,Worker's Compensation Expenses,47
2015,Office of the Inspector General,Inspector General,Inspector General,685841
2015,Office of the Labor Commissioner,Labor Contract Negotiations and Administration,Labor Relations,706798
2015,Office of the Labor Commissioner,Labor Contract Negotiations and Administration,Workers' Compensation Expenses,575
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,Property and Reserve,1364938
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,Auto/Animal Liability,1112708
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,General Tort Liability,2303268
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,Insurance,1697688
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,Amortization of Unfunded Liability,1690429
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,Risk Management Administration,11449826
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,Unemployment Compensation,1385897
2015,Selfinsurance Fund,Contribution to SelfInsurance Fund,Workers' Compensation,0
2015,Retirees Benefits,Retirees Benefits,Retirees' Benefits,56234391
2015,Retirees Benefits,Retirees Benefits,Affordable Care Act Fees,835649
2015,Retirees Benefits,Retirees Benefits,OPEB Trust Contribution,3500000
2015,Tif Debt Service,TIF Debt Service,Belvedere Square,127861
2015,Tif Debt Service,TIF Debt Service,Clipper Mill,611304
2015,Tif Debt Service,TIF Debt Service,Harborview,629037
2015,Tif Debt Service,TIF Debt Service,Strathdale Manor,473682
2015,Tif Debt Service,TIF Debt Service,Harbor Point,22875
2015,Tif Debt Service,TIF Debt Service,Mondawmin Mall,826453
2015,Tif Debt Service,TIF Debt Service,North Locust Point,226083
2015,Tif Debt Service,TIF Debt Service,EBDI Phase,3078749
2015,Tif Debt Service,TIF Debt Service,Unallocated,0
2015,Municipal and Zoning Appeals,Board of Municipal  Zoning Appeals,"Zoning, Tax, and Other Appeals",462577
2015,Office of Civil Rights,Wage Investigation and Enforcement,Administration ‐ Wage Commission,85060
2015,Office of Civil Rights,Discrimination Investigations Resolutions and Concilations,"Discrimination Investigations, Resolutions, and Conciliations",887458
2015,Office of Civil Rights,Police Community Relations,Police Community Relations,102248
2015,Office of Civil Rights,Disabilities Commission,Administration,187600
2015,Planning,Development Oversight and Project Support,Development Oversight,1180037
2015,Planning,Historic Preservation,Historic Preservation,518611
2015,Planning,Comprehensive Planning and Resource Management,Comprehensive Planning,1371089
2015,Planning,Comprehensive Planning and Resource Management,Casino Support‐Planning Studies,935327
2015,Planning,Comprehensive Planning and Resource Management,Casino Support‐LDC Support,163497
2015,Planning,Comprehensive Planning and Resource Management,Casino Support‐Environmental Education,0
2015,Planning,Comprehensive Planning and Resource Management,Casino Support‐Benefit District Support,0
2015,Planning,Comprehensive Planning and Resource Management,Casino Support‐Community Projects,0
2015,Planning,Comprehensive Planning and Resource Management,Pimlico Impact Aid‐PCDA Admin,43058
2015,Planning,Comprehensive Planning and Resource Management,Pimlico Impact Aid‐CitiWatch Cameras,0
2015,Planning,Comprehensive Planning and Resource Management,Pimlico Impact Aid‐Community Based Projects,0
2015,Planning,Planning for a Sustainable Baltimore,Sustainability,533733
2015,Planning,Planning for a Sustainable Baltimore,Exelon ‐ Baltimore Energy Challenge,0
2015,Planning,Planning for a Sustainable Baltimore,Exelon ‐ Energy Efficiency (Public Awareness),2000000
2015,Planning,Planning for a Sustainable Baltimore,Urban Heat Island Mitigation,0
2015,Planning,Administration  Planning,Administration,843238
2015,Police,Administration and Information Technology,Departmental Administration,2615791
2015,Police,Administration and Information Technology,Fiscal Division,1314448
2015,Police,Administration and Information Technology,Administrative Bureau,900065
2015,Police,Administration and Information Technology,Grants Section,464925
2015,Police,Administration and Information Technology,Planning and Research,1513398
2015,Police,Administration and Information Technology,Information Technology Division,5859773
2015,Police,Administration and Information Technology,Inspectional Services,429759
2015,Police,Administration and Information Technology,Public Affairs Division,681874
2015,Police,Administration and Information Technology,Non‐Actuarial Retirement Benefits,433674
2015,Police,Administration and Information Technology,Office of the Police Commissioner,5829746
2015,Police,Administration and Information Technology,Legal Affairs,3380154
2015,Police,Administration and Information Technology,Equal Opportunity & Diversity Section,0
2015,Police,Administration and Information Technology,Body Cameras,0
2015,Police,Administration and Information Technology,Asset Management,0
2015,Police,Administration and Information Technology,DOJ Compliance,0
2015,Police,Administration and Information Technology,Workers' Compensation Expenses,20558589
2015,Police,Police Patrol,Community Relations Section,3841567
2015,Police,Police Patrol,Special Foot (State),3312447
2015,Police,Police Patrol,Neighborhood Service Officers,4374572
2015,Police,Police Patrol,Stimulus COPS,1915762
2015,Police,Police Patrol,General Street Patrol,232059984
2015,Police,Police Patrol,Quartermaster,5555824
2015,Police,Police Patrol,Casino Support‐Police Coverage,1406945
2015,Police,Crime Investigation,Criminal Investigation Bureau,1344960
2015,Police,Crime Investigation,Area  District Investigations,12300240
2015,Police,Crime Investigation,Special Investigative Section,11539559
2015,Police,Crime Investigation,Sex Offense Registry,0
2015,Police,Crime Investigation,Homicide Section,10951146
2015,Police,Crime Investigation,Area  District Investigations,9846541
2015,Police,Crime Investigation,WATF,6175347
2015,Police,Crime Investigation,Area  District Investigations,0
2015,Police,Crime Investigation,Domestic Violence,0
2015,Police,Crime Investigation,RATT/Auto Crimes,0
2015,Police,Target Violent Criminals,Shared Assets,1543826
2015,Police,Target Violent Criminals,Drug Enforcement Section,28269409
2015,Police,Target Violent Criminals,Special Enforcement Section,0
2015,Police,Target Violent Criminals,WATF/E&A,0
2015,Police,Target Violent Criminals,Target Violent Criminals,3623626
2015,Police,SWATESU,Special Operations SWAT,7719922
2015,Police,SWATESU,Emergency Service Unit,1569824
2015,Police,Homeland Security  Intelligence,Criminal Intelligence Section,4892826
2015,Police,Homeland Security  Intelligence,Unallocated Grants,2721620
2015,Police,Homeland Security  Intelligence,Homeland Security Grant/OEM,0
2015,Police,Homeland Security  Intelligence,Operational Intelligence Section,0
2015,Police,Homeland Security  Intelligence,Analytical Intelligence,0
2015,Police,Emergency Communications,Dispatch,0
2015,Police,Police Internal Affairs,Internal Investigation Section,4852675
2015,Police,Police Internal Affairs,EEOC Section,1526762
2015,Police,Manage Police Records,Central Records Keeping,6792874
2015,Police,Manage Police Records,Property Section,1554588
2015,Police,Crowd Traffic and Special Events Management,Traffic Section,4875507
2015,Police,Crowd Traffic and Special Events Management,"Overtime, Special Events Unit",544017
2015,Police,Crowd Traffic and Special Events Management,Crossing Guard Reimbursement,5320458
2015,Police,Police Recruiting and Training,Personnel Section,4608280
2015,Police,Police Recruiting and Training,Education and Training Section,7273432
2015,Police,Special Operations  K and Mounted Unit,Special Operations ‐ K‐,2630335
2015,Police,Special Operations  K and Mounted Unit,Mounted,862868
2015,Police,Marine Unit,Marine Unit,271514
2015,Police,Special Operations  Aviation,Special Operations ‐ Aviation,3825622
2015,Police,Crime Laboratory,Crime Laboratory,11593442
2015,Public Works,Administration  DPW  SW,Administration ‐ DPW ‐ SW,1538576
2015,Public Works,Administration  DPW  SW,Worker's Compensation Expenses,3111742
2015,Public Works,Public RightofWay Cleaning,Casino Support‐Cleaning Waterways,0
2015,Public Works,Public RightofWay Cleaning,Marine Operations,1428297
2015,Public Works,Public RightofWay Cleaning,Anti‐Litter Campaign,0
2015,Public Works,Public RightofWay Cleaning,Cleaning of Business Districts,1288928
2015,Public Works,Public RightofWay Cleaning,Street & Alley Cleaning,16767741
2015,Public Works,Public RightofWay Cleaning,Mechanical Sweeping Operation,5050012
2015,Public Works,Public RightofWay Cleaning,Casino Support‐Sanitation Staffing,143743
2015,Public Works,Public RightofWay Cleaning,Graffiti Removal,525498
2015,Public Works,VacantAbandoned Property Cleaning and Boarding,Vacant/Abandoned Property Cleaning and Boarding,4922379
2015,Public Works,VacantAbandoned Property Cleaning and Boarding,Rat Control,258189
2015,Public Works,Waste Removal and Recycling,Household Hazardous Waste Disposal,187300
2015,Public Works,Waste Removal and Recycling,Mixed Refuse Collection,20059218
2015,Public Works,Waste Removal and Recycling,Recycling Administration,707193
2015,Public Works,Waste Removal and Recycling,Bulk Trash Collection,954148
2015,Public Works,Waste Removal and Recycling,Condominium Collections,895515
2015,Public Works,Waste Removal and Recycling,Municipal Can Program,0
2015,Public Works,Waste ReUse and Disposal,Wheelabrator Disposal,8201049
2015,Public Works,Waste ReUse and Disposal,Single‐Stream Recycling,0
2015,Public Works,Waste ReUse and Disposal,Landfill Operation,4137530
2015,Public Works,Waste ReUse and Disposal,Landfill Closure,831912
2015,Public Works,Waste ReUse and Disposal,Landfill Development,1500000
2015,Public Works,Waste ReUse and Disposal,Northwest Transfer Station Operation,1308172
2015,Public Works,Administration  DPW  WWW,DPW Overhead,4825885
2015,Public Works,Administration  DPW  WWW,City Overhead,12913982
2015,Public Works,Administration  DPW  WWW,Administration,16601815
2015,Public Works,Administration  DPW  WWW,Workers Compensation Expenses,3041611
2015,Public Works,Water Management,Baltimore City Operations & Maintenance,13764101
2015,Public Works,Water Management,Baltimore County Operations & Maintenance,8615484
2015,Public Works,Water Management,Chlorinator Stations,2030361
2015,Public Works,Water Management,Reservoirs and Tanks Operations and Maintenance,185605
2015,Public Works,Water Management,Water Conservation ‐ Baltimore City,1105473
2015,Public Works,Water Management,Water Conservation ‐ Baltimore County,1470215
2015,Public Works,Water Management,Water Facilities Administration,719900
2015,Public Works,Water Management,Water Filtration Plants,17986676
2015,Public Works,Water Management,Water Maintenance Administration,4731202
2015,Public Works,Water Management,Water Paving Cuts,4424369
2015,Public Works,Water Management,Water Pumping Stations,11458457
2015,Public Works,Water Management,Water Quality Control,1988876
2015,Public Works,Water Management,Water Storeroom & Yards Operations & Maintenance,1462470
2015,Public Works,Water Management,"Watershed Maintenance, Natural Resources & Security",2854332
2015,Public Works,Water Management,Watershed Safety,1068911
2015,Public Works,Water Management,Communication Center,0
2015,Public Works,Water and Wastewater Consumer Services,Meter Operations City,5537389
2015,Public Works,Water and Wastewater Consumer Services,Meter Operations County,4426268
2015,Public Works,Water and Wastewater Consumer Services,Meter Operations Administration,1019730
2015,Public Works,Water and Wastewater Consumer Services,Utility Billing,9399495
2015,Public Works,Water and Wastewater Consumer Services,Work Control Center,1944366
2015,Public Works,Water and Wastewater Consumer Services,Communication Center,356002
2015,Public Works,Wastewater Management,Back River WWTP Maintenance,12828376
2015,Public Works,Wastewater Management,Backriver Wastewater Treatment Plant,32481351
2015,Public Works,Wastewater Management,Computer Services/Process Control,314605
2015,Public Works,Wastewater Management,Inflow and Infiltration,2956230
2015,Public Works,Wastewater Management,Laboratory Services,2770671
2015,Public Works,Wastewater Management,Maintenance & Repair of Sanitary Systems,13640782
2015,Public Works,Wastewater Management,Patapsco Wastewater Treatment Plant,20892272
2015,Public Works,Wastewater Management,Patapsco WWTP Maintenance,8721655
2015,Public Works,Wastewater Management,Pollution Control,2035445
